_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,does_the_utterance_make_sense,does_the_utterance_make_sense:confidence,how_close_does_the_utterance_convey_the_same_meaning_as_the_scenario,how_close_does_the_utterance_convey_the_same_meaning_as_the_scenario:variance,how_natural_does_the_utterance_sound_in_terms_of_what_a_native_english_speaker_would_say,how_natural_does_the_utterance_sound_in_terms_of_what_a_native_english_speaker_would_say:variance,does_the_utterance_make_sense_gold,flab_bad_content,how_close_does_the_utterance_convey_the_same_meaning_as_the_scenario_gold,how_natural_does_the_utterance_sound_in_terms_of_what_a_native_english_speaker_would_say_gold,scenario,utterance
1778009125,false,finalized,3,6/22/2018 21:51:33,Yes,1.0,5.33,0.471,6.0,0.816,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,how fast can i move as i m looking for moving immediately 
1778009126,false,finalized,3,6/22/2018 21:47:42,Yes,1.0,6.33,0.943,6.33,0.943,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,what is the fastest way to move as i m looking for moving immediately 
1778009127,false,finalized,3,6/22/2018 21:43:53,Yes,1.0,5.67,0.943,5.67,0.943,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,can i move immediately 
1778009128,false,finalized,3,6/22/2018 21:52:45,Yes,1.0,4.33,0.943,5.67,0.943,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,how can i find a place quickly 
1778009129,false,finalized,3,6/22/2018 21:48:58,Yes,1.0,3.0,1.633,5.33,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,how can we increase the closing date 
1778009130,false,finalized,3,6/22/2018 21:48:55,Yes,1.0,5.33,0.471,6.0,0.0,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,who can help me find a place quickly 
1778009131,false,finalized,3,6/22/2018 21:51:33,Yes,1.0,6.0,0.816,7.0,0.0,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i am interested in buying a house and would like to know if i can move immediately when making the purchase
1778009132,false,finalized,3,6/22/2018 21:51:33,Yes,1.0,3.67,1.886,6.33,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,does the price includes the move 
1778009133,false,finalized,3,6/22/2018 21:54:48,Yes,1.0,5.67,0.471,6.0,0.816,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,can i move in right away 
1778009134,false,finalized,2,6/22/2018 21:36:49,Yes,1.0,3.5,1.5,5.5,0.5,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,you are looking to move immediately
1778009135,false,finalized,3,6/22/2018 21:22:34,Yes,1.0,4.67,2.055,4.67,2.055,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,you are looking to move immediately
1778009136,false,finalized,4,6/22/2018 21:35:10,Yes,1.0,6.5,0.866,6.5,0.866,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,you are looking to move immediately
1778009137,false,finalized,3,6/22/2018 21:47:42,Yes,1.0,5.0,0.816,6.0,0.816,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i need to relocate immediately 
1778009138,false,finalized,3,6/22/2018 21:48:55,Yes,1.0,3.67,1.886,6.33,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,looking for places to rent
1778009139,false,finalized,3,6/22/2018 21:28:34,Yes,1.0,6.0,0.816,6.0,0.0,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i really need to move elsewhere soon 
1778009140,false,finalized,5,6/22/2018 21:39:20,Yes,1.0,5.4,1.02,6.0,0.632,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i need to move right now can you help me 
1778009141,false,finalized,3,6/22/2018 21:48:52,Yes,1.0,5.33,0.471,6.0,0.816,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,can you help me move quickly 
1778009142,false,finalized,3,6/22/2018 21:15:57,Yes,1.0,5.67,0.943,5.67,0.943,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,can you please help me move quickly 
1778009143,false,finalized,3,6/22/2018 21:23:40,Yes,1.0,5.33,0.471,5.33,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i am interested in moving right away 
1778009144,false,finalized,2,6/22/2018 21:35:07,Yes,1.0,3.5,1.5,5.5,0.5,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i d like an imediate move if possible 
1778009145,false,finalized,2,6/22/2018 21:28:34,Yes,1.0,6.0,1.0,5.5,0.5,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,an immediate move is what i am looking for 
1778009146,false,finalized,4,6/22/2018 21:33:56,Yes,1.0,5.0,1.871,6.25,0.433,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,o move immediately
1778009147,false,finalized,3,6/22/2018 21:52:54,Yes,1.0,6.0,0.816,6.0,0.816,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i need to move immediately 
1778009148,false,finalized,2,6/22/2018 21:50:31,Yes,1.0,6.0,1.0,6.5,0.5,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,is the house ready to be occupied immediately 
1778009149,false,finalized,3,6/22/2018 21:43:06,Yes,1.0,4.33,0.943,5.33,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i need a house urgently 
1778009150,false,finalized,3,6/22/2018 21:35:10,Yes,1.0,4.33,2.494,6.67,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,what do i have to do to move immediately 
1778009151,false,finalized,3,6/22/2018 21:47:42,Yes,1.0,6.33,0.471,6.67,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,how can i move fast 
1778009152,false,finalized,3,6/22/2018 21:52:54,Yes,1.0,5.67,0.943,6.0,0.816,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,how long would it take to move 
1778009153,false,finalized,3,6/22/2018 21:52:54,Yes,1.0,7.0,0.0,7.0,0.0,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,can i move immediately
1778009154,false,finalized,3,6/22/2018 21:54:48,Yes,1.0,4.33,1.7,6.0,0.816,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,how many time i need to move
1778009155,false,finalized,5,6/22/2018 21:37:08,Yes,1.0,4.4,2.154,5.6,1.356,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,what time i can move
1778009156,false,finalized,3,6/22/2018 21:26:55,Yes,1.0,1.67,0.471,5.33,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,how much credit do i need 
1778009157,false,finalized,3,6/22/2018 21:23:40,Yes,1.0,1.33,0.471,5.33,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,how much credit do i need 
1778009158,false,finalized,3,6/22/2018 21:15:57,Yes,1.0,1.67,0.471,5.33,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,how much credit do i need 
1778009159,false,finalized,3,6/22/2018 21:40:20,Yes,1.0,5.33,0.471,5.33,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,whiich options for immediately moving can you offer to me
1778009160,false,finalized,3,6/22/2018 21:48:55,Yes,1.0,4.0,2.16,5.67,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i need a moving option immediately what do you have for me 
1778009161,false,finalized,3,6/22/2018 21:37:08,Yes,1.0,6.67,0.471,6.67,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,do you have any option for me to moving immediately 
1778009162,false,finalized,3,6/22/2018 21:48:58,Yes,1.0,4.67,0.471,5.33,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately, how long can the moving process take 
1778009163,false,finalized,3,6/22/2018 21:36:26,Yes,1.0,3.67,1.886,5.67,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately, how fast is the moving service 
1778009164,false,finalized,3,6/22/2018 21:26:55,Yes,1.0,3.33,0.471,5.33,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately, how expensive is a fast moving service 
1778009165,false,finalized,3,6/22/2018 21:47:42,Yes,1.0,4.33,1.7,6.67,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i want to leave immediately
1778009166,false,finalized,2,6/22/2018 21:44:38,Yes,1.0,4.0,2.0,6.5,0.5,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,what time can i go 
1778009167,false,finalized,3,6/22/2018 21:43:06,Yes,1.0,3.67,1.886,5.67,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,do you care if i leave 
1778009168,false,finalized,2,6/22/2018 21:36:49,Yes,1.0,5.5,0.5,5.5,0.5,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i m looking to move immediately
1778009169,false,finalized,3,6/22/2018 21:42:49,Yes,1.0,6.0,0.816,6.67,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i want to move immediately
1778009170,false,finalized,2,6/22/2018 21:36:49,Yes,1.0,5.0,0.0,5.5,0.5,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,move immediately
1778009171,false,finalized,3,6/22/2018 21:22:34,Yes,1.0,6.0,0.816,6.0,0.816,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i am looking to move immedeately 
1778009172,false,finalized,3,6/22/2018 21:48:58,Yes,1.0,3.67,1.247,5.33,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,what optons can you offer right now 
1778009173,false,finalized,3,6/22/2018 21:48:58,Yes,1.0,4.33,0.943,5.33,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,how soon could you come out with an offer 
1778009174,false,finalized,3,6/22/2018 21:43:06,Yes,1.0,4.33,0.943,4.67,1.247,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i need to move with what can you help me 
1778009175,false,finalized,3,6/22/2018 21:43:53,Yes,1.0,3.0,1.633,6.0,0.816,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,can you place me in a good area 
1778009176,false,finalized,3,6/22/2018 21:30:01,Yes,1.0,2.67,1.7,5.67,0.943,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,do i need help to get something quick that is cheap
1778009177,false,finalized,2,6/22/2018 21:52:54,Yes,1.0,6.0,1.0,6.0,1.0,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i need to move as soon as possible
1778009178,false,finalized,2,6/22/2018 21:52:54,Yes,1.0,3.0,2.0,5.5,0.5,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,there are schools nearby
1778009179,false,finalized,3,6/22/2018 21:54:48,Yes,1.0,4.0,2.16,6.0,0.816,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i can move with my pets
1778009180,false,finalized,3,6/22/2018 21:39:20,Yes,1.0,5.0,0.0,5.33,0.471,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i really need to move to a place under 500k 
1778009181,false,finalized,2,6/22/2018 23:37:39,Yes,1.0,1.5,0.5,7.0,0.0,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,how much is the rent per month 
1778009182,false,finalized,2,6/22/2018 23:44:26,Yes,1.0,3.5,2.5,6.5,0.5,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i am looking for an apartment under 500k
1778009183,false,finalized,2,6/22/2018 23:40:04,Yes,1.0,7.0,0.0,7.0,0.0,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,can i move immediately 
1778009184,false,finalized,2,6/22/2018 23:32:01,Yes,1.0,5.0,1.0,6.0,1.0,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,can i move too long 
1778009185,false,finalized,2,6/22/2018 23:41:44,Yes,1.0,5.5,0.5,6.0,1.0,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,will not take long to process the house will we 
1778009186,false,finalized,2,6/22/2018 23:40:49,Yes,1.0,2.0,1.0,6.5,0.5,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i need a taxi urgently to what number i can call
1778009187,false,finalized,2,6/22/2018 23:41:43,Yes,1.0,2.5,1.5,6.5,0.5,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i need to move to arizona as soon as possible when the closest flight departs
1778009188,false,finalized,2,6/22/2018 23:48:05,Yes,1.0,4.5,2.5,6.0,1.0,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i need a taxi urgently to what number i can call
1778009189,false,finalized,2,6/22/2018 23:36:42,Yes,1.0,1.5,0.5,6.0,1.0,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,is there a taxi service nearby 
1778009190,false,finalized,2,6/22/2018 23:37:18,Yes,1.0,5.0,0.0,5.0,0.0,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,is there any private transportation service 
1778009191,false,finalized,2,6/22/2018 23:42:54,Yes,1.0,3.5,2.5,6.5,0.5,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,how far is a bus stop 
1778009192,false,finalized,2,6/22/2018 23:41:11,Yes,1.0,6.5,0.5,7.0,0.0,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,i need to go now 
1778009193,false,finalized,2,6/22/2018 23:36:35,Yes,1.0,3.0,1.0,5.5,0.5,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,do i have to do the paperwork 
1778009194,false,finalized,2,6/22/2018 23:39:29,Yes,1.0,5.0,2.0,6.5,0.5,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,how do i do it faster 
1778009195,false,finalized,2,6/22/2018 23:48:04,Yes,1.0,6.0,1.0,6.0,1.0,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,we need to move asap
1778009196,false,finalized,2,6/22/2018 23:38:38,Yes,1.0,3.0,2.0,6.0,1.0,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,is the property ready to move in
1778009197,false,finalized,2,6/22/2018 23:29:18,Yes,1.0,6.0,0.0,6.5,0.5,,ACCEPTABLE_CONTENT,,,You are looking to move immediately,when is the earliest i can move in 
1778009198,false,finalized,4,6/22/2018 23:44:26,Yes,0.5116,2.25,2.165,3.75,2.773,,ACCEPTABLE_CONTENT,,,You want to know how much your down payment should be,mar ys elva
1778009199,false,finalized,2,6/22/2018 23:40:10,Yes,1.0,6.0,1.0,6.0,1.0,,ACCEPTABLE_CONTENT,,,You want to know how much your down payment should be,i want to know how much your down payment should be 
1778009200,false,finalized,2,6/22/2018 23:36:35,Yes,1.0,4.5,0.5,4.0,1.0,,ACCEPTABLE_CONTENT,,,You want to know how much your down payment should be,can i want to know how much your down payment should be 
1778009201,false,finalized,2,6/22/2018 23:36:10,Yes,1.0,6.5,0.5,6.5,0.5,,ACCEPTABLE_CONTENT,,,You want to know how much your down payment should be,what want to know how much your down payment should be 
1778009202,false,finalized,2,6/22/2018 23:44:29,No,1.0,1.5,0.5,4.5,2.5,,ACCEPTABLE_CONTENT,,,You want to know how much your down payment should be,buenos dias
1778009203,false,finalized,3,6/22/2018 23:34:41,Yes,1.0,4.67,2.625,6.67,0.471,,ACCEPTABLE_CONTENT,,,You want to know how much your down payment should be,buenos dias
1778009204,false,finalized,2,6/22/2018 23:31:29,Yes,1.0,3.5,2.5,6.5,0.5,,ACCEPTABLE_CONTENT,,,You want to know how much your down payment should be,buenos dias
1778009205,false,finalized,2,6/22/2018 23:37:18,Yes,1.0,6.0,1.0,6.0,1.0,,ACCEPTABLE_CONTENT,,,You want to know how much your down payment should be,how much should my down payment be 
1778009206,false,finalized,2,6/22/2018 23:36:12,Yes,1.0,6.0,1.0,7.0,0.0,,ACCEPTABLE_CONTENT,,,You want to know how much your down payment should be,what would be a good down payment 
1778009207,false,finalized,2,6/22/2018 23:33:44,Yes,1.0,5.0,1.0,4.5,1.5,,ACCEPTABLE_CONTENT,,,You want to know how much your down payment should be,how much would it be a reasonable down payment 
1778009208,false,finalized,2,6/22/2018 23:38:54,Yes,1.0,7.0,0.0,7.0,0.0,,ACCEPTABLE_CONTENT,,,You want to know how much your down payment should be,how much is the down payment 
1778009209,false,finalized,2,6/22/2018 23:29:24,Yes,1.0,5.0,1.0,5.5,1.5,,ACCEPTABLE_CONTENT,,,You want to know how much your down payment should be,is the initial payment greater than 100 000 
1778009210,false,finalized,2,6/22/2018 23:40:49,Yes,1.0,3.5,2.5,6.5,0.5,,ACCEPTABLE_CONTENT,,,You want to know how much your down payment should be,can i pay the initial payment with credits 
1778009211,false,finalized,2,6/22/2018 23:33:44,Yes,1.0,4.5,1.5,5.5,0.5,,ACCEPTABLE_CONTENT,,,You want to know how much your down payment should be,how much should i pay as downpayment 
1778009212,false,finalized,2,6/22/2018 23:28:32,Yes,1.0,5.0,1.0,7.0,0.0,,ACCEPTABLE_CONTENT,,,You want to know how much your down payment should be,what could be the lowest down payment i could give 
1778009213,false,finalized,2,6/22/2018 23:34:15,Yes,1.0,5.5,1.5,7.0,0.0,,ACCEPTABLE_CONTENT,,,You want to know how much your down payment should be,what can i do to pay a low down payment 
1778009214,false,finalized,2,6/22/2018 23:29:24,Yes,1.0,7.0,0.0,7.0,0.0,,ACCEPTABLE_CONTENT,,,You want to know how much your down payment should be,you want to know how much your down payment should be
1778009215,false,finalized,2,6/22/2018 23:37:50,Yes,1.0,7.0,0.0,7.0,0.0,,ACCEPTABLE_CONTENT,,,You want to know how much your down payment should be,you want to know how much your down payment should be
1778009216,false,finalized,2,6/22/2018 23:36:42,Yes,1.0,5.0,0.0,5.0,0.0,,ACCEPTABLE_CONTENT,,,You want to know how much your down payment should be,you want to know how much your down payment should be
1778009217,false,finalized,2,6/22/2018 23:47:08,Yes,1.0,5.5,0.5,6.0,1.0,,ACCEPTABLE_CONTENT,,,You want to know how much your down payment should be,how much should the initial contribution be 
1778009218,false,finalized,2,6/22/2018 23:40:49,Yes,1.0,6.5,0.5,6.5,0.5,,ACCEPTABLE_CONTENT,,,You want to know how much your down payment should be,the initial fee should be what 
1778009219,false,finalized,2,6/22/2018 23:34:41,Yes,1.0,6.0,1.0,6.0,1.0,,ACCEPTABLE_CONTENT,,,You want to know how much your down payment should be,the amount of the down payment 
1778009220,false,finalized,2,6/25/2018 17:20:06,Yes,1.0,4.5,0.5,5.5,0.5,,ACCEPTABLE_CONTENT,,,You want to know how much your down payment should be,how much credit do i need 
1778009221,false,finalized,2,6/22/2018 23:36:42,Yes,1.0,5.0,0.0,6.0,1.0,,ACCEPTABLE_CONTENT,,,You want to know how much your down payment should be,how much credit do i need 
1778009222,false,finalized,2,6/22/2018 23:36:24,Yes,1.0,6.5,0.5,6.5,0.5,,ACCEPTABLE_CONTENT,,,You want to know how much your down payment should be,how much credit do i need 
1778009223,false,finalized,2,6/22/2018 23:57:08,Yes,1.0,4.5,0.5,5.5,0.5,,ACCEPTABLE_CONTENT,,,You want to know how much your down payment should be,ant to know how your credit score affects home buying
1778009224,false,finalized,2,6/22/2018 23:38:39,Yes,1.0,7.0,0.0,7.0,0.0,,ACCEPTABLE_CONTENT,,,You want to know how much your down payment should be,want to know how much your down payment should
1778009225,false,finalized,2,6/22/2018 23:32:01,Yes,1.0,6.5,0.5,7.0,0.0,,ACCEPTABLE_CONTENT,,,You want to know how much your down payment should be,want to know how much your down payment should
1778009226,false,finalized,2,6/22/2018 23:35:54,Yes,1.0,6.0,1.0,6.0,1.0,,ACCEPTABLE_CONTENT,,,You want to know how much your down payment should be,i want to know how much your down payment should be
