UTTERANCE,SCENARIO,ANNOTATION_USER,ANNOTATION_SYSTEM,AGENT_TEMPLATE_UTTERANCE
how long is the lease term,customer wants to know the duration of the lease term,REQUEST(lease_duration),OFFER_SLOT_VALUE(lease_duration=2 years),Lease duration is 2 years
how many homes average client usually sees before making decision,customer wants to know how many homes customer should view before making a decision,FAQ(info=num_home_views),ANSWER(info=on average 10 homes),on average home buyers view 10 homes
what is the lease period,customer wants to know the duration of the lease term,REQUEST(lease_duration),OFFER_SLOT_VALUE(lease_duration=2 years),Lease duration is 2 years
how much can a luxury house cost,customer are looking for an luxury home,INFORM(category=luxury),ack(). Request(budget),OK. Ask buyer about his budget
how my credit score does affect home buying,customer wants to know how customerr credit score affects home buying,FAQ(info=how_credit_score_affected),ANSWER(info=Higher credit score means lower in...,Higher credit score means lower interest rate
how much can the bank lend me if i have not paid the total amount of my credits,customer wants to know how customerr credit score affects home buying,FAQ(info=how_credit_score_affected),ANSWER(info=Higher credit score means lower in...,Higher credit score means lower interest rate
my maximum budget is approximately 500 000,customerr budget is around 500k,INFORM(budget=500K),ack(). Request(move_in_date),OK. Ask when buyer would like to move in
what price is the canon,customer wants to know the subletting policy,REQUEST(subletting_policy),OFFER_SLOT_VALUE(subletting_policy=ok for shor...,Subletting policy is ok for short term subletting
how far is the nearby grocery store,customer wants to know about nearby grocery store,REQUEST(nearby_grocery),OFFER_SLOT_VALUE(nearby_grocery=Safeway),Nearby grocery is Safeway
do i need to take any special document for the closing process,customer wants to know what happens during closing process,FAQ(info=closing_process),"ANSWER(info = {sign legal documents,home inspe...","sign legal documents,home inspection,pay trans..."
show me properties that will be ready by 2 years,customer are looking to move in the next two year,INFORM(move_in_date=within_2_years),"SELECT(property_name={House on Maple Street, H...",Offer a property named House on Maple Street a...
i would ask if the apartment is 1 or 2 floors,customer wants to know how big the apartment is,REQUEST(apartment_size),OFFER_SLOT_VALUE(apartment_size = 650 square f...,Apartment size is 650 square feet
what area is the house,customer wants to know what the first step to buying a home is,FAQ(info=first_step_to_purchase),ANSWER(info=getting pre-approved for a mortgage),first step is to get pre-approved for a mortgage
is there enough surveillance in streets,customer wants to know how safe the neighborhood is,REQUEST(neighborhood_safety),OFFER_SLOT_VALUE(neighborhood_safety=low crime),Neighborhood safety is low crime
are there any neighbors,customer are looking for an luxury home,INFORM(category=luxury),ack(). Request(budget),OK. Ask buyer about his budget
where looking for an luxury home,customer are looking for an luxury home,INFORM(category=luxury),ack(). Request(budget),OK. Ask buyer about his budget
can want to know the parking situation of the apartment,customer wants to know the parking situation of the apartment,REQUEST(parking),OFFER_SLOT_VALUE(parking=street parking),Parking is street parking
does the apartment i m buying have parking,customer wants to know the parking situation of the apartment,REQUEST(parking),OFFER_SLOT_VALUE(parking=street parking),Parking is street parking
i have no ideai have no idea,customer wants to know the amenties that are in the building,REQUEST(amenties),"OFFER_SLOT_VALUE(amenties = {gym,swimming pool})",Amenties include gym and swimming pool
how does my credit score affect to buy a house,customer wants to know how customerr credit score affects home buying,FAQ(info=how_credit_score_affected),ANSWER(info=Higher credit score means lower in...,Higher credit score means lower interest rate
está buscando una casa de lujo,customer wants to know about nearby grocery store,REQUEST(nearby_grocery),OFFER_SLOT_VALUE(nearby_grocery=Safeway),Nearby grocery is Safeway
está buscando una casa de lujo,customer are looking for a single family home,"INFORM(intent=search_home,property_type=single...",ack(). Request(category),OK. Ask buyer whether he wants luxury or affor...
is there a party room,customer wants to know the amenties that are in the building,REQUEST(amenties),"OFFER_SLOT_VALUE(amenties = {gym,swimming pool})",Amenties include gym and swimming pool
which is the credit score i need for this house,customer wants to know how much credit score customer need to buy a home,FAQ(info=how_many_credit_score),ANSWER(info=minimum 500  score to get a loan),need a minimum 500 credit score to get a loan
excuse me i would like to know how long it would take me to buy a house,customer wants to know how long it usually takes to buy a home,FAQ(info=time_duration_purchase),ANSWER(info=6 months to two-and-a-half years),on average 6 months to two-and-a-half years
is there the possibility of going up or down in the evaluation of the credits,customer wants to know how much credit score customer need to buy a home,FAQ(info=how_many_credit_score),ANSWER(info=minimum 500  score to get a loan),need a minimum 500 credit score to get a loan
can i see a lot of homes before making a decision,customer wants to know how many homes customer should view before making a decision,FAQ(info=num_home_views),ANSWER(info=on average 10 homes),on average home buyers view 10 homes
can we get along now,customer wants to know what happens during closing process,FAQ(info=closing_process),"ANSWER(info = {sign legal documents,home inspe...","sign legal documents,home inspection,pay trans..."
i need my house to be luxury,customer are looking for an luxury home,INFORM(category=luxury),ack(). Request(budget),OK. Ask buyer about his budget
can i raise a cat in the apartment,customerr wants to know if an apartment allows pet,REQUEST(pet_policy),OFFER_SLOT_VALUE(pet_policy=allowed),Pet is allowed
donde estas,"customer wants to know about other fees, beside downpayment",REQUEST(fee),OFFER_SLOT_VALUE(fee=trash_fee),Fee includes trash fee
what time can i get my pet out of the apartment,customerr wants to know if an apartment allows pet,REQUEST(pet_policy),OFFER_SLOT_VALUE(pet_policy=allowed),Pet is allowed
does it have everything one needs,customer wants to know about nearby grocery store,REQUEST(nearby_grocery),OFFER_SLOT_VALUE(nearby_grocery=Safeway),Nearby grocery is Safeway
cuantas habitaciones posee el departamento,customer wants to know how many bedrooms the apartment has,REQUEST(num_of_bedrooms),OFFER_SLOT_VALUE(num_of_bedrooms=1),number of bedrooms equals one
the ubication,customer wants to know which neighborhoods the real estate agent covers,FAQ(info=coverage_area),"ANSWER(info={Neighborhood A, Neighborhood B, N...","covers Neighborhood A, Neighborhood B, Neighbo..."
are you telling me about your services,customer wants to know what service the real estate agent provides,FAQ(info=type_of_services_provided),"ANSWER(info={help you find a home, negotiate a...","services include help you find a home, negotia..."
the apartment is spacious,customer wants to know how big the apartment is,REQUEST(apartment_size),OFFER_SLOT_VALUE(apartment_size = 650 square f...,Apartment size is 650 square feet
how high quality are your services,customer wants to know what service the real estate agent provides,FAQ(info=type_of_services_provided),"ANSWER(info={help you find a home, negotiate a...","services include help you find a home, negotia..."
you are looking for a home under 500k,customer wants to know how much credit score customer need to buy a home,FAQ(info=how_many_credit_score),ANSWER(info=minimum 500  score to get a loan),need a minimum 500 credit score to get a loan
i would like to know if there are returns,customer wants to know the subletting policy,REQUEST(subletting_policy),OFFER_SLOT_VALUE(subletting_policy=ok for shor...,Subletting policy is ok for short term subletting
can i know how long it usually takes to buy a home,customer wants to know how long it usually takes to buy a home,FAQ(info=time_duration_purchase),ANSWER(info=6 months to two-and-a-half years),on average 6 months to two-and-a-half years
what might you say to or ask a customer service agent in this scenario,customer wants to know how much a real estate agent charge,FAQ(info=typical_charge_amount),ANSWER(info=2% to 3% of the sales price),2% to 3% of the sales price
how much credit do i need,customer wants to know how much a real estate agent charge,FAQ(info=typical_charge_amount),ANSWER(info=2% to 3% of the sales price),2% to 3% of the sales price
can neighborhoods be removed in the future,customer wants to know which neighborhoods the real estate agent covers,FAQ(info=coverage_area),"ANSWER(info={Neighborhood A, Neighborhood B, N...","covers Neighborhood A, Neighborhood B, Neighbo..."
una vez vencido el plazo es posible renovar de nuevo,customer wants to know the duration of the lease term,REQUEST(lease_duration),OFFER_SLOT_VALUE(lease_duration=2 years),Lease duration is 2 years
is it ok if ask to see few more,customer wants to know how many homes customer should view before making a decision,FAQ(info=num_home_views),ANSWER(info=on average 10 homes),on average home buyers view 10 homes
how many elevators are there,customer wants to know the amenties that are in the building,REQUEST(amenties),"OFFER_SLOT_VALUE(amenties = {gym,swimming pool})",Amenties include gym and swimming pool
what is first step in buying a home,customer wants to know what the first step to buying a home is,FAQ(info=first_step_to_purchase),ANSWER(info=getting pre-approved for a mortgage),first step is to get pre-approved for a mortgage
i do not have more than 500k for this,customerr budget is around 500k,INFORM(budget=500K),ack(). Request(move_in_date),OK. Ask when buyer would like to move in
do you have to pay extra for parking,customer wants to know the parking situation of the apartment,REQUEST(parking),OFFER_SLOT_VALUE(parking=street parking),Parking is street parking
can i go for a long term installments,customer wants to know how much deposit will be,REQUEST(info=deposit),OFFER_SLOT_VALUE(deposit=1 month rent),Deposit is 1 month rent
it is long the process to buy a new home,customer wants to know how long it usually takes to buy a home,FAQ(info=time_duration_purchase),ANSWER(info=6 months to two-and-a-half years),on average 6 months to two-and-a-half years
i have to pay a tax,customer wants to know the parking situation of the apartment,REQUEST(parking),OFFER_SLOT_VALUE(parking=street parking),Parking is street parking
i would like to find single family home,customer are looking for a single family home,"INFORM(intent=search_home,property_type=single...",ack(). Request(category),OK. Ask buyer whether he wants luxury or affor...
do you have houses located in the best area,customer are looking for an luxury home,INFORM(category=luxury),ack(). Request(budget),OK. Ask buyer about his budget
what are the services you provide,customer wants to know what service the real estate agent provides,FAQ(info=type_of_services_provided),"ANSWER(info={help you find a home, negotiate a...","services include help you find a home, negotia..."
i m looking for a condo,customer are looking for a condo,"INFORM(intent=search_home,property_type=condo)",ack(). Request(category),OK. Ask buyer whether he wants luxury or affor...
i am looking for a quiet place,customer are looking for an luxury home,INFORM(category=luxury),ack(). Request(budget),OK. Ask buyer about his budget
do you have other areas to compare,customer wants to know how many homes customer should view before making a decision,FAQ(info=num_home_views),ANSWER(info=on average 10 homes),on average home buyers view 10 homes
do you want to know how many deposits do you need to cancel,customer wants to know how much deposit will be,REQUEST(info=deposit),OFFER_SLOT_VALUE(deposit=1 month rent),Deposit is 1 month rent
my budget is about 500 thousand,customerr budget is around 500k,INFORM(budget=500K),ack(). Request(move_in_date),OK. Ask when buyer would like to move in
can i have a dog in this apartment,customerr wants to know if an apartment allows pet,REQUEST(pet_policy),OFFER_SLOT_VALUE(pet_policy=allowed),Pet is allowed
is it too long to buy a home,customer wants to know how long it usually takes to buy a home,FAQ(info=time_duration_purchase),ANSWER(info=6 months to two-and-a-half years),on average 6 months to two-and-a-half years
are you prepared to spend approximately the next 30 minutes answering a high quality questionnaire acknowledging that you may not be eligible to participate in the questionnaire due to certain exclusion criteria,customer wants to know how much credit score customer need to buy a home,FAQ(info=how_many_credit_score),ANSWER(info=minimum 500  score to get a loan),need a minimum 500 credit score to get a loan
does the building have internet service,customer wants to know the amenties that are in the building,REQUEST(amenties),"OFFER_SLOT_VALUE(amenties = {gym,swimming pool})",Amenties include gym and swimming pool
what score range am i in,customer wants to know how customerr credit score affects home buying,FAQ(info=how_credit_score_affected),ANSWER(info=Higher credit score means lower in...,Higher credit score means lower interest rate
conditions for sublease,customer wants to know the subletting policy,REQUEST(subletting_policy),OFFER_SLOT_VALUE(subletting_policy=ok for shor...,Subletting policy is ok for short term subletting
allow pets,customerr wants to know if an apartment allows pet,REQUEST(pet_policy),OFFER_SLOT_VALUE(pet_policy=allowed),Pet is allowed
how long does it take to get a house in a residential area,customer wants to know how long it usually takes to buy a home,FAQ(info=time_duration_purchase),ANSWER(info=6 months to two-and-a-half years),on average 6 months to two-and-a-half years
does the apartment have several rooms,customer wants to know how many bedrooms the apartment has,REQUEST(num_of_bedrooms),OFFER_SLOT_VALUE(num_of_bedrooms=1),number of bedrooms equals one
are you prepared to spend approximately the next 30 minutes answering a high quality questionnaire acknowledging that you may not be eligible to participate in the questionnaire due to certain exclusion criteria,customer wants to know how much credit score customer need to buy a home,FAQ(info=how_many_credit_score),ANSWER(info=minimum 500  score to get a loan),need a minimum 500 credit score to get a loan
que tan amplia es la cocina,customer wants to know how many bedrooms the apartment has,REQUEST(num_of_bedrooms),OFFER_SLOT_VALUE(num_of_bedrooms=1),number of bedrooms equals one
the initial can be fractioned,customer wants to know how much customerr down payment should be,FAQ(info=amount_of_down_payment),ANSWER(info=minimal 3.5% down payment),minimal 3.5% down payment
can you help me to know if the deductions that i have will grant me the credit for the purchase,customer wants to know how much credit score customer need to buy a home,FAQ(info=how_many_credit_score),ANSWER(info=minimum 500  score to get a loan),need a minimum 500 credit score to get a loan
is there a pool,customer wants to know the amenties that are in the building,REQUEST(amenties),"OFFER_SLOT_VALUE(amenties = {gym,swimming pool})",Amenties include gym and swimming pool
i need an affordable home,customer are looking to buy an affordable home,INFORM(category=affordable),ack(). Request(budget),OK. Ask buyer about his budget
do you have anymore houses available for 500k,customerr budget is around 500k,INFORM(budget=500K),ack(). Request(move_in_date),OK. Ask when buyer would like to move in
what is the maximum you can buy,customer are looking to buy an affordable home,INFORM(category=affordable),ack(). Request(budget),OK. Ask buyer about his budget
can want to know which neighborhoods the real estate agent covers,customer wants to know which neighborhoods the real estate agent covers,FAQ(info=coverage_area),"ANSWER(info={Neighborhood A, Neighborhood B, N...","covers Neighborhood A, Neighborhood B, Neighbo..."
i am looking to move in the next two year,customer are looking to move in the next two year,INFORM(move_in_date=within_2_years),"SELECT(property_name={House on Maple Street, H...",Offer a property named House on Maple Street a...
yeah right,customer wants to know how much deposit will be,REQUEST(info=deposit),OFFER_SLOT_VALUE(deposit=1 month rent),Deposit is 1 month rent
is there a grocery store near here,customer wants to know about nearby grocery store,REQUEST(nearby_grocery),OFFER_SLOT_VALUE(nearby_grocery=Safeway),Nearby grocery is Safeway
in the department are pets prohibited,customerr wants to know if an apartment allows pet,REQUEST(pet_policy),OFFER_SLOT_VALUE(pet_policy=allowed),Pet is allowed
how many bedrooms does this department have,customer wants to know how many bedrooms the apartment has,REQUEST(num_of_bedrooms),OFFER_SLOT_VALUE(num_of_bedrooms=1),number of bedrooms equals one
if my credit score is high will it be easier to buy the house i want,customer wants to know how customerr credit score affects home buying,FAQ(info=how_credit_score_affected),ANSWER(info=Higher credit score means lower in...,Higher credit score means lower interest rate
can i have my dog in the apartment,customerr wants to know if an apartment allows pet,REQUEST(pet_policy),OFFER_SLOT_VALUE(pet_policy=allowed),Pet is allowed
none of above,customer wants to know how many bedrooms the apartment has,REQUEST(num_of_bedrooms),OFFER_SLOT_VALUE(num_of_bedrooms=1),number of bedrooms equals one
how much money i have to pay in regards with downpayments,customer wants to know how much customerr down payment should be,FAQ(info=amount_of_down_payment),ANSWER(info=minimal 3.5% down payment),minimal 3.5% down payment
i can have many things in the apartment,customer wants to know how big the apartment is,REQUEST(apartment_size),OFFER_SLOT_VALUE(apartment_size = 650 square f...,Apartment size is 650 square feet
can you help me move quickly,customer are looking to move immediately,INFORM(move_in_date=immediately),OFFER(property_name=Edgewater),Offer a property named Edgewater
i really need to move to a place under 500k,customer wants to know how much customerr down payment should be,FAQ(info=amount_of_down_payment),ANSWER(info=minimal 3.5% down payment),minimal 3.5% down payment
should i call an agent before,customer wants to know what happens during closing process,FAQ(info=closing_process),"ANSWER(info = {sign legal documents,home inspe...","sign legal documents,home inspection,pay trans..."
measures of the apartment,customer wants to know how big the apartment is,REQUEST(apartment_size),OFFER_SLOT_VALUE(apartment_size = 650 square f...,Apartment size is 650 square feet
what is subletting policy,customer wants to know the subletting policy,REQUEST(subletting_policy),OFFER_SLOT_VALUE(subletting_policy=ok for shor...,Subletting policy is ok for short term subletting
how does my credit score affect the purchase of a home,customer wants to know how customerr credit score affects home buying,FAQ(info=how_credit_score_affected),ANSWER(info=Higher credit score means lower in...,Higher credit score means lower interest rate
how s the duration on the lease term,customer wants to know the duration of the lease term,REQUEST(lease_duration),OFFER_SLOT_VALUE(lease_duration=2 years),Lease duration is 2 years
how wide is the parking,customer wants to know the parking situation of the apartment,REQUEST(parking),OFFER_SLOT_VALUE(parking=street parking),Parking is street parking
how many rooms and bathrooms does this department have,customer wants to know how big the apartment is,REQUEST(apartment_size),OFFER_SLOT_VALUE(apartment_size = 650 square f...,Apartment size is 650 square feet
could you show me the comforts of this apartment,customer wants to know the amenties that are in the building,REQUEST(amenties),"OFFER_SLOT_VALUE(amenties = {gym,swimming pool})",Amenties include gym and swimming pool
what requirements do i need,customer wants to know how much credit score customer need to buy a home,FAQ(info=how_many_credit_score),ANSWER(info=minimum 500  score to get a loan),need a minimum 500 credit score to get a loan
i need a large house with swimming pool wood floor kitchen and granite bath,customer are looking for an luxury home,INFORM(category=luxury),ack(). Request(budget),OK. Ask buyer about his budget
is there a parking,customer wants to know the parking situation of the apartment,REQUEST(parking),OFFER_SLOT_VALUE(parking=street parking),Parking is street parking
how large is the deposit,customer wants to know how much deposit will be,REQUEST(info=deposit),OFFER_SLOT_VALUE(deposit=1 month rent),Deposit is 1 month rent
how much time do i have to pay it,customer wants to know how much deposit will be,REQUEST(info=deposit),OFFER_SLOT_VALUE(deposit=1 month rent),Deposit is 1 month rent
would i extend this lease term,customer wants to know the duration of the lease term,REQUEST(lease_duration),OFFER_SLOT_VALUE(lease_duration=2 years),Lease duration is 2 years
will i be able to save some extra cash,customer are looking to buy an affordable home,INFORM(category=affordable),ack(). Request(budget),OK. Ask buyer about his budget
in which neighborhood are nice homes,customer wants to know how long it usually takes to buy a home,FAQ(info=time_duration_purchase),ANSWER(info=6 months to two-and-a-half years),on average 6 months to two-and-a-half years
how much will i deposit,customer wants to know how much deposit will be,REQUEST(info=deposit),OFFER_SLOT_VALUE(deposit=1 month rent),Deposit is 1 month rent
i would like an economic house for a person,customer are looking for a single family home,"INFORM(intent=search_home,property_type=single...",ack(). Request(category),OK. Ask buyer whether he wants luxury or affor...
my maximum level is 500k for the apartment,customerr budget is around 500k,INFORM(budget=500K),ack(). Request(move_in_date),OK. Ask when buyer would like to move in
sir is there enough parking space near aparment,customer wants to know the parking situation of the apartment,REQUEST(parking),OFFER_SLOT_VALUE(parking=street parking),Parking is street parking
does the department have private parking,customer wants to know the parking situation of the apartment,REQUEST(parking),OFFER_SLOT_VALUE(parking=street parking),Parking is street parking
can i keep my dog here,customer wants to know how long it usually takes to buy a home,FAQ(info=time_duration_purchase),ANSWER(info=6 months to two-and-a-half years),on average 6 months to two-and-a-half years
sir i want to move in next two year is this possible,customer are looking to move in the next two year,INFORM(move_in_date=within_2_years),"SELECT(property_name={House on Maple Street, H...",Offer a property named House on Maple Street a...
how long does it take to buy a house,customer wants to know how long it usually takes to buy a home,FAQ(info=time_duration_purchase),ANSWER(info=6 months to two-and-a-half years),on average 6 months to two-and-a-half years
what is the amount for the deposit,customer wants to know how much deposit will be,REQUEST(info=deposit),OFFER_SLOT_VALUE(deposit=1 month rent),Deposit is 1 month rent
i want to go immediately,customer are looking to move immediately,INFORM(move_in_date=immediately),OFFER(property_name=Edgewater),Offer a property named Edgewater
how do you treat clients,customer wants to know how customerr credit score affects home buying,FAQ(info=how_credit_score_affected),ANSWER(info=Higher credit score means lower in...,Higher credit score means lower interest rate
i need you to show me properties that will be available in the next two years,customer are looking to move in the next two year,INFORM(move_in_date=within_2_years),"SELECT(property_name={House on Maple Street, H...",Offer a property named House on Maple Street a...
is the neighborhood safe,customer wants to know how safe the neighborhood is,REQUEST(neighborhood_safety),OFFER_SLOT_VALUE(neighborhood_safety=low crime),Neighborhood safety is low crime
affordable home is all i need,customer are looking to buy an affordable home,INFORM(category=affordable),ack(). Request(budget),OK. Ask buyer about his budget
is a school near,customer wants to know the duration of the lease term,REQUEST(lease_duration),OFFER_SLOT_VALUE(lease_duration=2 years),Lease duration is 2 years
do you have medium apartments,customer wants to know how big the apartment is,REQUEST(apartment_size),OFFER_SLOT_VALUE(apartment_size = 650 square f...,Apartment size is 650 square feet
will you have a luxury home,customer are looking for an luxury home,INFORM(category=luxury),ack(). Request(budget),OK. Ask buyer about his budget
how much do i have to leave as a deposit,customer wants to know how much deposit will be,REQUEST(info=deposit),OFFER_SLOT_VALUE(deposit=1 month rent),Deposit is 1 month rent
is there any grocery store nearby,customer wants to know about nearby grocery store,REQUEST(nearby_grocery),OFFER_SLOT_VALUE(nearby_grocery=Safeway),Nearby grocery is Safeway
there are possibilities for the next years,customer are looking to move in the next two year,INFORM(move_in_date=within_2_years),"SELECT(property_name={House on Maple Street, H...",Offer a property named House on Maple Street a...
i am 500k budget person,customerr budget is around 500k,INFORM(budget=500K),ack(). Request(move_in_date),OK. Ask when buyer would like to move in
how does a credit rating affect the purchase of housing,customer wants to know how customerr credit score affects home buying,FAQ(info=how_credit_score_affected),ANSWER(info=Higher credit score means lower in...,Higher credit score means lower interest rate
the parking has security,customer wants to know the parking situation of the apartment,REQUEST(parking),OFFER_SLOT_VALUE(parking=street parking),Parking is street parking
how much money should i pay for them,"customer wants to know about other fees, beside downpayment",REQUEST(fee),OFFER_SLOT_VALUE(fee=trash_fee),Fee includes trash fee
i am looking fora condo,customer are looking for a condo,"INFORM(intent=search_home,property_type=condo)",ack(). Request(category),OK. Ask buyer whether he wants luxury or affor...
como estas,customerr budget is around 500k,INFORM(budget=500K),ack(). Request(move_in_date),OK. Ask when buyer would like to move in
i m looking for a home for a single family,customer are looking for a single family home,"INFORM(intent=search_home,property_type=single...",ack(). Request(category),OK. Ask buyer whether he wants luxury or affor...
it it my home buying affected by my credit score,customer wants to know how customerr credit score affects home buying,FAQ(info=how_credit_score_affected),ANSWER(info=Higher credit score means lower in...,Higher credit score means lower interest rate
if my credit score is not high can i buy a house despite that,customer wants to know how much credit score customer need to buy a home,FAQ(info=how_many_credit_score),ANSWER(info=minimum 500  score to get a loan),need a minimum 500 credit score to get a loan
does the apartment allows pets,customerr wants to know if an apartment allows pet,REQUEST(pet_policy),OFFER_SLOT_VALUE(pet_policy=allowed),Pet is allowed
is it possible to learn about the subletting policy,customer wants to know the subletting policy,REQUEST(subletting_policy),OFFER_SLOT_VALUE(subletting_policy=ok for shor...,Subletting policy is ok for short term subletting
what other fees are there besides downpayment,"customer wants to know about other fees, beside downpayment",REQUEST(fee),OFFER_SLOT_VALUE(fee=trash_fee),Fee includes trash fee
do you have any condos,customer are looking for a condo,"INFORM(intent=search_home,property_type=condo)",ack(). Request(category),OK. Ask buyer whether he wants luxury or affor...
i m looking for a place to rent for a short time,customer wants to know the subletting policy,REQUEST(subletting_policy),OFFER_SLOT_VALUE(subletting_policy=ok for shor...,Subletting policy is ok for short term subletting
what about nearby grocery store,customer wants to know about nearby grocery store,REQUEST(nearby_grocery),OFFER_SLOT_VALUE(nearby_grocery=Safeway),Nearby grocery is Safeway
i can buy a small house for my family but in the city,customer are looking for a single family home,"INFORM(intent=search_home,property_type=single...",ack(). Request(category),OK. Ask buyer whether he wants luxury or affor...
is there any neraby grocery stores,customer wants to know about nearby grocery store,REQUEST(nearby_grocery),OFFER_SLOT_VALUE(nearby_grocery=Safeway),Nearby grocery is Safeway
where is the nearest grocery store to this area,customer wants to know about nearby grocery store,REQUEST(nearby_grocery),OFFER_SLOT_VALUE(nearby_grocery=Safeway),Nearby grocery is Safeway
can i buy unless i have a negative credit score,customer wants to know how customerr credit score affects home buying,FAQ(info=how_credit_score_affected),ANSWER(info=Higher credit score means lower in...,Higher credit score means lower interest rate
buenos dias,customer wants to know what happens during closing process,FAQ(info=closing_process),"ANSWER(info = {sign legal documents,home inspe...","sign legal documents,home inspection,pay trans..."
there are many thefts,customer wants to know how safe the neighborhood is,REQUEST(neighborhood_safety),OFFER_SLOT_VALUE(neighborhood_safety=low crime),Neighborhood safety is low crime
and with that 500k budget if is possible i would like to know if you allow pets,customerr budget is around 500k,INFORM(budget=500K),ack(). Request(move_in_date),OK. Ask when buyer would like to move in
i want to move immediately,customer are looking to move immediately,INFORM(move_in_date=immediately),OFFER(property_name=Edgewater),Offer a property named Edgewater
how does my credit score affect home buying,customer wants to know how customerr credit score affects home buying,FAQ(info=how_credit_score_affected),ANSWER(info=Higher credit score means lower in...,Higher credit score means lower interest rate
what s the first steps of buying this home,customer wants to know what the first step to buying a home is,FAQ(info=first_step_to_purchase),ANSWER(info=getting pre-approved for a mortgage),first step is to get pre-approved for a mortgage
for an apartment how much does it charge,customer wants to know how much a real estate agent charge,FAQ(info=typical_charge_amount),ANSWER(info=2% to 3% of the sales price),2% to 3% of the sales price
buenos dias,customer wants to know the parking situation of the apartment,REQUEST(parking),OFFER_SLOT_VALUE(parking=street parking),Parking is street parking
does it have 3 bedrooms,customer wants to know how big the apartment is,REQUEST(apartment_size),OFFER_SLOT_VALUE(apartment_size = 650 square f...,Apartment size is 650 square feet
is there any subletting policy,customer wants to know the subletting policy,REQUEST(subletting_policy),OFFER_SLOT_VALUE(subletting_policy=ok for shor...,Subletting policy is ok for short term subletting
i need a house soon to move in the next two years,customer are looking to move in the next two year,INFORM(move_in_date=within_2_years),"SELECT(property_name={House on Maple Street, H...",Offer a property named House on Maple Street a...
